name,artists,id,release_date,hit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
All Is Fair,Big Wreck,2kvWmhH0p7qc5e7GcqePMe,2012-01-01,0.0,0.496,0.904,1,-5.314,1,0.0578,0.0153,0.000132,0.376,0.374,104.979,308413,4
All Over The Road,Easton Corbin,6XD3HMATLswheYevIfKkSi,2012-01-01,1.0,0.491,0.841,5,-3.579,1,0.0421,0.0471,0.0,0.0886,0.721,199.851,163067,4
All That I Want,Robbie Williams,0Jm0R7hYJIdkWNvqQnnm53,2012-11-05,0.0,0.66,0.677,2,-6.94,1,0.0374,0.000806,0.00338,0.228,0.569,120.016,210093,4
All That Matters (The Beautiful Life),Kesha,7949ooAKks9n3EB5CesM4B,2012-11-30,0.0,0.624,0.767,3,-5.863,0,0.0497,0.00051,2.03e-05,0.379,0.492,128.024,217653,4
All the Little Lights,Passenger,5QrqXOTpWw4MfoDlHfCdBL,2013-02-17,0.0,0.339,0.428,2,-11.5,1,0.0418,0.88,1.24e-05,0.107,0.24,86.926,235840,3
All the Rowboats,Regina Spektor,5rSlEtSKiOYivDFChX3FRW,2012-05-25,0.0,0.558,0.653,5,-8.312,0,0.0428,0.273,0.007,0.108,0.403,166.0,213493,4
All The Time,"Jeremih, Lil Wayne, Natasha Mosley",0USZx50eApN045zIIyjePN,2013-01-01,0.0,0.675,0.44,9,-9.298,0,0.349,0.545,6.24e-06,0.197,0.0338,109.823,264200,4
All This Time - Pop Mix,Britt Nicole,6oUKzFleJraGH2LJsWhgfg,2012,0.0,0.633,0.704,9,-5.23,1,0.0262,0.119,0.0,0.089,0.41,96.019,204786,4
All Those Friendly People,Funeral Suits,5RqJrJRVZ0wdiI4yFuv3u6,2012-06-01,0.0,0.371,0.869,2,-4.873,1,0.071,0.00997,0.0,0.166,0.472,120.647,278987,4
All Too Well,Taylor Swift,1q3RiD1tIWUpGsNFADMlvl,2012-10-22,0.0,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.127,0.337,93.06,327893,4
All Wash Out,Edward Sharpe & The Magnetic Zeros,6J1DNhkecvjjEW9tsNWR75,2012-05-29,0.0,0.568,0.28,8,-16.09,1,0.0362,0.902,0.246,0.0761,0.333,120.046,280920,4
All We Have Is Now,The Modern Electric,5s78vi4v2Qo95QbPGTWKE2,2012-12-05,0.0,0.608,0.627,8,-7.606,1,0.0434,0.0903,0.00555,0.361,0.306,124.003,243630,4
