title,artist,hit
Bad,Wale Featuring Tiara Thomas Or Rihanna,1
#thatPOWER,will.i.am Featuring Justin Bieber,1
"Gone, Gone, Gone",Phillip Phillips,1
Next To Me,Emeli Sande,1
Pusher Love Girl,Justin Timberlake,1
Highway Don't Care,Tim McGraw With Taylor Swift,1
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",1
Kisses Down Low,Kelly Rowland,1
Like Jesus Does,Eric Church,1
We Still In This B****,B.o.B Featuring T.I. & Juicy J,1
Rich As F**k,Lil Wayne Featuring 2 Chainz,1
1994,Jason Aldean,1
Show Out,Juicy J Featuring Big Sean & Young Jeezy,1
Wop,J. Dash,1
"Bitch, Don't Kill My Vibe",Kendrick Lamar,1
More Than Miles,Brantley Gilbert,1
Clarity,Zedd Featuring Foxes,1
DONE.,The Band Perry,1
Anywhere With You,Jake Owen,1
Karate Chop (Remix),Future Featuring Lil Wayne,1
Freaks,French Montana Featuring Nicki Minaj,1
Hey Pretty Girl,Kip Moore,1
Beat This Summer,Brad Paisley,1
Levitate,Hadouken!,1
Gentleman,PSY,1
Get Lucky,Daft Punk Featuring Pharrell Williams,1
Come & Get It,Selena Gomez,1
The Way,Ariana Grande Featuring Mac Miller,1
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,1
Fine China,Chris Brown,1
Crash My Party,Luke Bryan,1
Fall Down,will.i.am Featuring Miley Cyrus,1
I Want Crazy,Hunter Hayes,1
Here's To Never Growing Up,Avril Lavigne,1
The Other Side,Jason Derulo,1
I Need Your Love,Calvin Harris Featuring Ellie Goulding,1
High School,Nicki Minaj Featuring Lil Wayne,1
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,1
Lego House,Ed Sheeran,1
How Many Drinks?,Miguel,1
I Hit It First,Ray J Featuring Bobby Brackins,1
Wings,Little Mix,1
If I Lose Myself,OneRepublic,1
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,1
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,1
Ready,Fabolous Featuring Chris Brown,1
#Beautiful,Mariah Carey Featuring Miguel,1
Young And Beautiful,Lana Del Rey,1
Body Party,Ciara,1
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1
Live It Up,Jennifer Lopez Featuring Pitbull,1
Treasure,Bruno Mars,1
Runnin' Outta Moonlight,Randy Houser,1
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",1
See You Again,Carrie Underwood,1
Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",1
Safe And Sound,Capital Cities,1
Jump Right In,Zac Brown Band,1
I Am Beautiful,Candice Glover,1
Little Bit Of Everything,Keith Urban,1
All Over The Road,Easton Corbin,1
Can't Shake You,Gloriana,1
Really Don't Care,Demi Lovato Featuring Cher Lloyd,1
People Like Us,Kelly Clarkson,1
We Can't Stop,Miley Cyrus,1
Love Somebody,Maroon 5,1
Counting Stars,OneRepublic,1
