title,artist,date,hit,track_id,release_date,spotify.name,spotify.artists
Birthday Cake,Rihanna Featuring Chris Brown,2012-03-31,1,4EfN6bixdOOgoLYR5C4cWo,2011-11-19,Birthday Cake,['Rihanna']
Climax,Usher,2012-03-31,1,5pyVqlqThcxI7tPDjHIzPh,2012-06-12,Climax,['Usher']
So Good,B.o.B,2012-03-31,1,28GUjBGqZVcAV4PHSYzkj2,2012-04-27,So Good,['B.o.B']
Springsteen,Eric Church,2012-03-31,1,05ZACkzW8YbRq3eFgIfSNB,2011-01-01,Springsteen,['Eric Church']
Fly Over States,Jason Aldean,2012-03-31,1,17X2tSzibD9n9QRjdExcWT,2010-11-02,Fly Over States,['Jason Aldean']
Ayy Ladies,Travis Porter Featuring Tyga,2012-03-31,1,4P6BuLsqtg5uISdE77ypI9,2012-05-28,Ayy Ladies (feat. Tyga),"['Travis Porter', 'Tyga']"
Brokenhearted,Karmin,2012-03-31,1,4urcG6Nfubqsuqy3juMjBi,2012-05-07,Brokenhearted,['Karmin']
UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,2012-03-31,1,1lqKgoo11HKUoMpbouC7I4,2011-05-31,UP! (Beat The P*ssy UP) [Street],"['LoveRance', 'Iamsu!', 'Skipper']"
Drunk On You,Luke Bryan,2012-03-31,1,3b7CDTKB0SRTmQ6ytYi5vZ,2011-08-09,Drunk On You,['Luke Bryan']
Changed,Rascal Flatts,2012-03-31,1,7ClZTubD4KudpEuBysLMUI,2012-01-01,Changed,['Rascal Flatts']
Everybody Talks,Neon Trees,2012-03-31,1,2iUmqdfGZcHIhS3b9E9EWq,2012-01-01,Everybody Talks,['Neon Trees']
Some Nights,fun.,2012-03-31,1,6t6oULCRS6hnI7rm0h5gwl,2012-02-21,Some Nights,['fun.']
Midnight City,M83.,2012-03-31,1,1eyzqe2QqGZUmfcPZtrIyt,2011,Midnight City,['M83']
Magic,Future Featuring T.I.,2012-03-31,1,3OdeZ1MhdHaRqAZLpowKWn,2012-11-27,Magic (feat. T.I.) - Remix,"['Future', 'T.I.']"
4 AM,Melanie Fiona,2012-03-31,1,3vMIAawCfJdR6A86JGqLc5,,,
Do It Like You,Diggy Featuring Jeremih,2012-03-31,1,3hTfNt05rYtyMamwkxyHaZ,2012-03-19,Do It Like You (feat. Jeremih),"['Diggy', 'Jeremih']"
No Hurry,Zac Brown Band,2012-03-31,1,15vrb7RIDVq0n44vMGJOz5,2010-09-20,No Hurry,['Zac Brown Band']
One Thing,One Direction,2012-03-31,1,5G2c6FsfTzgYUzageCmfXY,2012-05-25,One Thing,['One Direction']
Even If It Breaks Your Heart,Eli Young Band,2012-03-31,1,0Nu9WA8kEbBWEsay2s8Q0U,2011-01-01,Even If It Breaks Your Heart,['Eli Young Band']
Sex Ain't Better Than Love,Trey Songz,2012-03-31,1,1NJoVAf6HvRbAMH1Py2XmN,2011-11-25,Sex Ain't Better Than Love,['Trey Songz']
Leave You Alone,Young Jeezy Featuring Ne-Yo,2012-03-31,1,5GOqOUVv7vk0jWDdNToHtA,,,
TTYLXOX,Bella Thorne,2012-03-31,1,1nIDYHvLaZnD5lEf66SH80,2012-01-01,TTYLXOX,['Bella Thorne']
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne,2012-03-31,1,0rSVWYKiBkirydeEyFevAn,,,
Payphone,Maroon 5 Featuring Wiz Khalifa,2012-05-05,1,1LmN9SSHISbtp9LoaR5ZVJ,2012-01-01,Payphone,"['Maroon 5', 'Wiz Khalifa']"
Boyfriend,Justin Bieber,2012-05-05,1,3UGIZ8qcrMTwzLbx6Kttqt,2012-01-01,Boyfriend,['Justin Bieber']
Eyes Open,Taylor Swift,2012-05-05,1,7wjbSn8QHsxqKXU5M0jXGM,2012-01-01,Eyes Open,['Taylor Swift']
Dance Again,Jennifer Lopez Featuring Pitbull,2012-05-05,1,4d2hD63oUGU3s7L66JD0BE,2012-07-20,Dance Again,"['Jennifer Lopez', 'Pitbull']"
Burn It Down,Linkin Park,2012-05-05,1,7oVEtyuv9NBmnytsCIsY5I,2012-06-20,BURN IT DOWN,['Linkin Park']
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012-05-05,1,4qikXelSRKvoCqFcHLB2H2,2012-01-01,Mercy,"['Kanye West', 'Big Sean', 'Pusha T', '2 Chainz']"
Loud,Mac Miller,2012-05-05,1,5aQmsZCESbhasWW5VARdS8,2012-04-12,Loud,['Mac Miller']
Feel Like A Rock Star,Kenny Chesney & Tim McGraw,2012-05-05,1,6IwjYtPMOebrz61UEayrrS,2012-06-19,Feel Like a Rock Star (Duet with Tim McGraw),"['Kenny Chesney', 'Tim McGraw']"
Stay Schemin,Rick Ross Featuring Drake & French Montana,2012-05-05,1,0nq6sfr8z1R5KJ4XUk396e,2012-01-01,Stay Schemin,"['Rick Ross', 'Drake', 'French Montana']"
Too Close,Alex Clare,2012-05-05,1,4sK96UnGx3NjBaqvfTG2dm,2011,Too Close,['Alex Clare']
Beez In The Trap,Nicki Minaj Featuring 2 Chainz,2012-05-05,1,4It00tEYLwpjQtAhqnjCPC,2012-01-01,Beez In The Trap,"['Nicki Minaj', '2 Chainz']"
Back In Time,Pitbull,2012-05-05,1,3eQlGeyuSibgAGPEJugaDW,2012,"Back in Time - featured in ""Men In Black 3""",['Pitbull']
Right By My Side,Nicki Minaj Featuring Chris Brown,2012-05-05,1,2bgW1SJqUjIkWcbxTPTIdy,2012-01-01,Right By My Side,"['Nicki Minaj', 'Chris Brown']"
Give Your Heart A Break,Demi Lovato,2012-05-05,1,3sP3c86WFjOzHHnbhhZcLA,2011-01-01,Give Your Heart a Break,['Demi Lovato']
Cashin' Out,Ca$h Out,2012-05-05,1,1POAx4NMLOBPVKZUSsBh92,2012-03-26,Cashin' Out,['Ca$h Out']
Somebody That I Used To Know,Glee Cast,2012-05-05,1,5cxq7YCarud9twaVh6Y3Rt,2012-08-28,Somebody That I Used To Know (Glee Cast Version),['Glee Cast']
