"pocketful","honey","ready","","ain't","","money","letting","know","i'ma","love","like","fool","breathe","till","hallucinate","","body","make","silly","make","want","","baby","","make","pretty","string","along","i'ma","love","like","fool","breathe","till","hallucinate","","live","without","touch","never","much","breathe","forever","ever","hallucinate","hallucinate","call","name","","stars","eyes","fade","come","","losing","","","","mind","","","","mind","","","","mind","","","","mind","hallucinate","call","name","","stars","","hall","fame","middle","wall","yeah","","favourite","ride","","","yeah","i'ma","love","like","fool","breathe","till","hallucinate","","live","without","touch","never","much","breathe","forever","ever","hallucinate","hallucinate","call","name","","stars","eyes","fade","come","","losing","","","","mind","","","","mind","","","","mind","","","","mind","hallucinate","call","name","","stars","wanna","right","","dancing","dark","wait","","push","start","lose","control","kill","slowly","kiss","wrap","round","fingertips","damn","need","another","","make","lose","mind","hallucinate","call","name","","stars","eyes","fade","come","","losing","","","","mind","","","","mind","","","","mind","","","","mind","hallucinate","call","name","","stars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hear","","sinners","think","saint","might","","river","cause","","","opens","touch","yeah","makin","","","hold","hold","hold","hold","hold","feels","holy","holy","holy","holy","holy","","runnin","altar","like","track","star","wait","another","second","cause","","hold","hold","hold","hold","hold","feels","holy","well","drama","stand","fake","believe","nirvana","","love","night","gave","life","baby","explain","","hold","hold","hold","hold","hold","feels","holy","holy","holy","holy","holy","","runnin","altar","like","track","star","wait","another","second","cause","","hold","hold","hold","hold","hold","feels","holy","","young","pimps","players","","","crushin","wise","","","fools","rush","know","","","","","","young","pimps","players","","","crushin","wise","","","fools","rush","know","chance","rapper","first","step","pleases","father","might","hardest","take","come","water","believer","heart","fleshy","life","short","temper","like","","pesci","always","come","sing","praises","name","catchy","","","parlay","desi","cross","tween","tween","hesi","","","speed","","messy","","lefty","like","lionel","messi","take","trip","","vespas","rent","","","know","spots","","best","weed","goin","next","week","wanna","honor","wanna","honor","bride's","groom","father's","child","know","","takes","first","steps","father's","proud","","make","water","part","clouds","","know","made","snack","like","oscar","proud","mwah","suffer","","gotta","clean","","formalize","union","communion","","trust","","know","ain't","leavin","like","know","ain't","leavin","","","know","believe","","know","","believes","","cause","","hold","hold","hold","hold","hold","feels","holy","holy","holy","holy","holy",""
"runnin","altar","like","track","star","wait","another","second","","runnin","altar","like","track","star","wait","another","second","","runnin","altar","like","track","star","wait","another","second","cause","","hold","hold","hold","hold","feels","","","","holy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"picture","perfect","need","filter","gorgeous","make","","drop","dead","killer","shower","attention","yeah","intentions","stay","kitchen","cookin","","bread","heart","full","equity","asset","make","sure","need","mentions","yeah","intentions","shout","","","makin","standin","ovation","great","","raisin","create","muse","kind","smile","makes","news","nobody","throw","shade","name","streets","triple","threat","boss","","beast","make","easy","choose","","mean","touch","refuse","refuse","picture","perfect","need","filter","gorgeous","make","","drop","dead","killer","shower","attention","yeah","intentions","stay","kitchen","cookin","","bread","heart","full","equity","asset","make","sure","need","mentions","yeah","intentions","already","passed","need","approval","good","everywhere","worry","bout","refusal","second","none","","upper","hand","","need","sponsor","nope","brand","","rock","colorado","","ring","just","like","toronto","love","","little","tomorrow","feel","","like","know","picture","perfect","need","filter","gorgeous","make","","drop","dead","killer","shower","attention","yeah","intentions","stay","kitchen","cookin","","bread","whip","heart","full","equity","asset","asset","make","sure","need","mentions","yeah","yeah","yeah","intentions","quavo","","pretendin","need","mentions","","","","sayin","goals","wanna","independent","pendent","tell","mind","business","","feelings","fifty","fifty","percentage","fifty","attention","need","commitment","","gotta","admit","funny","listen","blessing","blessing","cause","","best","thing","","need","witness","best","thing","i'ma","find","ring","pray","perfect","fitted","perfect","perfect","perfect","picture","perfect","need","filter","filter","gorgeous","make","","drop","dead","killer","","","shower","attention","yeah","intentions","yeah","stay","kitchen","cookin","","bread","heart","full","equity","asset","","","make","sure","need","mentions","mentions","yeah","intentions","intentions","plan"
"wanna","","away","know","galaxy","","take","ride","premonition","fell","rhythm","music","stop","life","glitter","","glitter","eyes","shining","just","","like","feeling","like","need","little","","company","","perfect","time","want","want","baby","sugarboo","levitating","milky","","renegading","yeah","yeah","yeah","yeah","yeah","","moonlight","starlight","need","night","come","dance","levitating","moonlight","starlight","moonlight","need","night","come","dance","levitating","believe","feel","energy","","","written","stars","","","wherever","","never","baby","nothing's","ever","ever","","glitter","","glitter","eyes","shining","just","","feel","like","forever","every","time","","together","whatever","","lost","mars","want","want","baby","sugarboo","levitating","milky","","renegading","yeah","yeah","yeah","yeah","yeah","","moonlight","starlight","need","night","come","dance","levitating","moonlight","starlight","moonlight","need","night","come","dance","levitating","","","away","tonight","","","away","tonight","baby","","take","ride","yeah","yeah","yeah","yeah","yeah","levitating","","","","away","tonight","","","away","tonight","baby","","take","ride","yeah","yeah","yeah","yeah","yeah","","love","like","rocket","watch","blast","feeling","electric","dance","","even","wanted","stop","yeah","yeah","yeah","yeah","yeah","love","like","rocket","watch","blast","feeling","electric","dance","","even","wanted","stop","yeah","yeah","yeah","yeah","yeah","want","want","baby","sugarboo","levitating","milky","","renegading","","yeah","moonlight","starlight","need","night","night","come","dance","levitating","","","","away","tonight","tonight","","","away","tonight","baby","","take","ride","yeah","yeah","yeah","yeah","yeah","take","ride","levitating","","","","away","tonight","tonight","","","away","tonight","baby",""
"take","ride","yeah","yeah","yeah","yeah","yeah","","take","ride","","moonlight","starlight","starlight","need","night","come","dance","come","dance","levitating","moonlight","starlight","moonlight","need","night","come","dance","levitating","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"everybody","knows","name","","somethin","bout","still","feels","strange","like","lookin","mirror","tryna","steady","seein","somebody","else","everything","","feels","like","lives","changed","maybe","older","it'll","calm","killin","","nobody","call","maybe","know","cause","everything","one's","listening","just","fuckin","lonely","","","","onely","","","","onely","everybody","knows","past","","like","house","always","made","glass","maybe","price","","money","fame","early","","everybody","","sick","felt","like","","gave","shit","criticized","things","idiot","","nobody","call","maybe","know","cause","everything","one's","listening","just","fuckin","lonely","","","","onely","","","","onely","","","","onely","","","","onely","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"never","thought","find","","never","thought","hear","heart","beat","loud","believe","something","left","chest","anymore","goddamn","","love","used","think","made","stone","used","spend","many","nights","never","knew","dance","anymore","goddamn","","love","show","heaven's","right","baby","touch","know","crazy","never","ever","","somebody","like","used","afraid","love","might","goddamn","","love","","love","","love","","love","many","nights","tears","fell","harder","rain","scared","take","broken","heart","grave","rather","","live","storm","like","goddamn","","love","show","heaven's","right","baby","touch","know","crazy","never","ever","","somebody","like","used","afraid","love","might","goddamn","","love","","love","","love","","love","believe","believe","finally","found","someone","sink","teeth","disbelief","cause","","want","believe","believe","afraid","anymore","goddamn","","love","","","","","","","","","","","","","never","thought","find","","never","thought","hear","heart","beat","loud","believe","something","left","chest","anymore","","goddamn","","love","love","love","love","love","","","believe","believe","finally","found","someone","sink","teeth","disbelief","cause","","want","believe","something","left","inside","chest","anymore","goddamn","","love","","love","","love","","love","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"common","love","","created","something","phenomenal","agree","agree","","feeling","diamond","rich","nothing","planet","compares","agree","agree","needs","","sleep","","next","night","riot","know","","back","know","","come","come","come","come","come","come","","physical","lights","follow","noise","baby","keep","dancing","like","ain't","","choice","come","come","come","come","come","","physical","adrenaline","keeps","rushing","love","simulation","dreaming","agree","agree","wanna","live","another","life","cause","one's","pretty","nice","living","needs","","sleep","","next","night","riot","know","","back","know","","come","come","come","come","come","come","","physical","lights","follow","noise","baby","keep","dancing","like","ain't","","choice","come","come","come","come","come","","physical","hold","just","little","tighter","come","hold","tell","ready","come","come","come","baby","keep","dancing","","physical","hold","just","little","tighter","come","hold","tell","ready","come","come","come","baby","keep","dancing","","physical","night","riot","know","","back","know","","come","come","come","","physical","lights","follow","noise","baby","keep","dancing","like","ain't","","choice","come","come","come","come","come","","physical","physical","physical","","physical","physical","physical","physical","physical","physical","","physical","physical","physical","come","","","","physical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","yeah","just","","stuck","","","stick","around","","strike","baby","care","sound","crazy","never","","sun's","stayin","still","layin","","singin","","","","","","time","hands","might","well","cancel","plans","yeah","stay","lifetime","lock","door","throw","","fight","just","nothin","nothin","","stuck","stuck","stuck","","ahead","drive","insane","baby","","mouth","still","change","stuck","stuck","stuck","stuck","stuck","stuck","baby","nowhere","need","i'ma","","know","better","kinda","hope","forever","nobody","streets","told","world's","endin","ain't","","","spend","","","","","","","time","hands","might","well","cancel","plans","yeah","yeah","stay","forever","lock","door","throw","","fight","just","nothin","nothin","","stuck","stuck","stuck","","ahead","drive","insane","baby","","mouth","still","trade","stuck","stuck","stuck","stuck","stuck","stuck","woah","baby","come","take","time","","make","lose","mind","","need","tonight","lock","door","lock","door","throw","","fight","fight","just","nothin","nothin","rather","stuck","stuck","stuck","","ahead","drive","insane","baby","","mouth","still","change","lovin","hatin","wantin","stuck","stuck","stuck","","","stuck","stuck","stuck","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","take","","take","sometimes","mind","havin","worst","","","stress","turns","built","energy","","edge","","","fall","back","easy","pressure","point","love","push","","","right","","talk","","","sign","language","know","body","","weight","weighin","shoulders","heavy","","meaning","composure","","","","take","","take","punching","","","might","","","feel","light","take","","take","yeah","plug","whatever","need","make","sure","","enough","battery","gets","","i'ma","","charge","","massage","mental","physical","whenever","lose","doubt","miracle","around","feel","invincible","please","forget","","take","yeah","yeah","yeah","yeah","","take","","","","","punching","","","might","","","","feel","light","","","take","","","woah","","take","","","woah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","feel","even","though","touched","yeah","love","true","love","want","nobody","else","side","","","trust","lies","told","yeah","love","true","love","nobody","else","deserve","time","reach","hands","hold","enough","enough","greatness","teach","patience","like","best","worlds","collide","never","understood","meant","meant","submit","love","beyond","lust","","blessing","life","make","look","even","better","shine","shine","together","yeah","love","","love","nobody","else","deserve","eyes","demand","presence","hard","read","message","stay","defense","take","away","leverage","","","perspective","help","respect","","","know","love","know","true","love","yeah","soul","","know","self","esteem","gets","","lift","right","ceiling","woah","","","feel","even","though","touched","yeah","love","","love","want","nobody","else","side","","","","","","","","","","","","","","","love","","","","","love","","","","","","","appreciate","","","","","","","","","","","","bless","maker","","","","","","","love","","","","","love","","","","","","","look","love","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"know","sometimes","think","","","never","wanna","fall","","","","quisiera","olvidar","","","pero","contigo","","todo","","","","","yeah","yeah","deep","water","yeah","drownin","","question","love","like","enough","hate","know","know","know","","tied","regret","","mistake","makes","think","mind","change","hate","know","know","know","know","messed","","","love","","","love","sure","","","wake","feelin","feelin","baby","knock","door","","","love","","till","","","","","","","","realize","lover","lover","friend","acércate","","poquito","","","","","quiero","","","quedes","conmigo","deja","","amiga","allá","atrás","","vamos","","","viaje","escondido","vamo","","turks","caicos","","","calmamo","","ganas","","ganas","suéltate","conmigo","mamá","mamá","","","","marcha","atrás","","noche","","","","","fácil","baby","","","","","","","","","","","eres","","","","eres","","","nunca","dejes","","querer","","","","","contigo","","siempre","baby","quiero","dejarte","esta","","","","love","","","love","sure","","","wake","feelin","feelin","baby","knock","door","","","love","","till","","","","","","","","realize","lover","lover","friend","yeah","yeah","yeah","","","","estoy","","","corazón","quizá","","","fondo","otra","baby","escribe","nunca","","respondo","","vida","","vuelta","","","mundo","","redondo","","","","","","beso","","nuevo","","london","","","","marbella","","encima","","","arena"
"viendo","","estrella","","","","","","","","","borra'o","","huella","","pero","","pichaera","","","","atropella","","playa","","","","arena","vamo","allá","","baby","","quede","callá","","","","","quiere","guayar","conmigo","otra","","tienes","","depresión","fumando","","","habitación","","pero","","","","","","love","","","","love","sure","","","wake","feelin","feelin","baby","knock","door","","","love","","till","","","","","","","","realize","lover","lover","friend","baby","","","","","","","","","love","","","realize","lover","lover","friend","","balvin","","","bunny","baby","tainy","latino","gang","yeah","","familia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yeah","","yummy","","yummy","","yummy","yummy","yeah","","yummy","","yummy","","yummy","yummy","","word","","yeah","babe","yeah","babe","yeah","babe","night","","","word","","yeah","babe","yeah","babe","yeah","babe","mornin","late","","word","","bona","fide","stallion","ain't","stable","stay","","ain't","side","number","","yeah","every","time","come","around","","done","fifty","fifty","love","","split","hundred","racks","help","spend","babe","light","match","","litty","babe","","","watch","sunset","kinda","yeah","yeah","rollin","eyes","back","head","make","toes","curl","yeah","yeah","yeah","","yummy","","yummy","","yummy","yummy","yeah","","yummy","","yummy","","yummy","yummy","","word","","yeah","babe","yeah","babe","yeah","babe","night","","","word","","yeah","babe","yeah","babe","yeah","babe","mornin","late","","word","","standin","keep","rise","lost","control","compromised","","disguise","ain't","never","runnin","","supplies","fifty","fifty","love","","split","hundred","racks","help","spend","babe","light","match","","litty","babe","","","watch","sunset","kinda","yeah","yeah","rollin","eyes","back","head","make","toes","curl","yeah","yeah","yeah","","yummy","","yummy","","yummy","yummy","stay","flexin","yeah","","yummy","","yeah","yeah","yummy","","yummy","yummy","","word","","yeah","babe","yeah","babe","yeah","babe","yeah","babe","night","","","word","","yeah","babe","yeah","babe","yeah","babe","yeah","babe","mornin","late","","word","","","lambo","","drew","house","slippers","smile","face","elated","lady","","","","","","","","","","woah","woah","","yeah"
"","yummy","","yummy","","yummy","yummy","yeah","","yummy","","yummy","","yummy","yummy","","word","","yeah","babe","yeah","babe","yeah","babe","yeah","babe","night","","","word","","yeah","babe","yeah","babe","yeah","babe","yeah","babe","mornin","late","","word","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"injustice","anywhere","threat","justice","everywhere","maybe","stare","much","maybe","long","enough","funny","forget","blink","","hair","dancin","like","one's","know","s'posed","","love","breath","times","","digest","music","every","time","hear","name","","head's","layin","right","chest","sun's","still","ain't","","rest","wanna","close","eyes","scared","miss","much","wanna","fall","asleep","rather","fall","love","feel","feel","touch","","seconds","without","you's","like","","months","wanna","close","eyes","scared","miss","much","wanna","fall","asleep","rather","fall","love","cause","eternity","ain't","long","enough","","seconds","without","you's","like","","months","much","love","","love","","take","friends","problems","still","somehow","stop","world","","","still","relive","second","","biggest","blessing","prayed","look","","done","","love","breath","times","","digest","music","every","time","hear","name","","head's","layin","right","chest","sun's","still","ain't","","rest","wanna","close","eyes","scared","miss","much","wanna","fall","asleep","rather","fall","love","feel","feel","touch","","seconds","without","you's","like","","months","wanna","close","eyes","scared","miss","much","wanna","fall","asleep","rather","fall","love","cause","eternity","ain't","long","enough","","seconds","without","you's","like","","months","much","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dance","diamonds","","like","breath","cold","sleep","silence","come","kiss","silver","gold","","lose","predict","future","just","hold","like","never","","","yeah","ever","move","without","need","make","sure","know","","ever","love","gotta","tell","","gotta","tell","","yeah","anyone","gotta","tell","","gotta","tell","","lookin","back","life","good","ever","done","ever","done","yeah","anyone","anyone","anyone","forever's","enough","time","","love","","want","love","","want","cause","every","mornin","find","","fear","","","lose","predict","future","cause","certain","things","control","yeah","ever","move","without","need","make","sure","know","","ever","love","","gotta","tell","","gotta","tell","","yeah","anyone","gotta","tell","","gotta","tell","","lookin","back","life","good","ever","done","ever","done","yeah","anyone","anyone","anyone","","","","","anyone","","","","yeah","woah","yeah","","ever","love","gotta","tell","","gotta","tell","","yeah","","","","","yeah","anyone","gotta","tell","","gotta","tell","","lookin","back","life","good","ever","done","ever","done","","yeah","yeah","anyone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sometimes","give","mind","space","yeah","know","yeah","know","hurts","push","love","away","hate","wanna","tell","lies","heart","break","yeah","know","yeah","know","made","fair","share","mistakes","sometimes","know","love","sometimes","know","care","take","good","ugly","","goin","anywhere","take","swear","best","","","goin","anywhere","take","","swear","best","","","goin","anywhеre","thousand","miles","apart","yeah","","holds","heart","surprise","tell","time","life","gets","","hard","meet","stars","know","keep","near","","wipe","away","tears","","","sometimes","know","love","sometimes","know","care","take","good","ugly","","goin","anywhere","take","swear","best","","","goin","anywhere","yeah","take","swear","best","","","goin","anywhere","actin","selfish","prayed","faith","believed","ain't","nobody","else","miracle","","away","yeah","actin","selfish","prayed","faith","believed","ain't","nobody","else","miracle","","away","sometimes","know","love","sometimes","know","care","take","good","ugly","","goin","anywhere","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","three","four","","","every","time","come","around","know","","every","time","","goes","","take","control","","feel","paradise","world","implodes","tonight","something","wonderful","","habits","lead","late","nights","endin","alone","","stranger","barely","know","swearin","last","probably","","nothin","left","lose","","","habits","lead","wide","eyes","stare","space","know","lose","control","things","","yeah","lookin","","","escape","nothin","happens","aftеr","","true","true","","habits","lead","","","","","","habits","lеad","","","","","","habits","lead","every","pure","intention","ends","good","times","start","fallin","everything","reach","first","time's","spark","started","neon","lights","","dark","know","","","","habits","lead","late","nights","endin","alone","","stranger","barely","know","swearin","last","probably","","nothin","left","lose","","","habits","lead","wide","eyes","stare","space","know","lose","control","things","","yeah","lookin","","","escape","nothin","happens","","true","true","","habits","lead","","","","","","habits","lead","","","","","took","long","","round","burned","","","","","","habits","lead","late","nights","endin","alone","","stranger","barely","know","swearin","last","probably","","nothin","left","lose","","","habits","lead","wide","eyes","stare","space","know","lose","control","things","","yeah","lookin","","","escape","nothin","happens","","true","true","","habits","lead","","","","","","habits","lead","","","","","","habits","lead","","","","","","","","","","","","","","","","","",""
"","brother","blessed","sons","daughters","lookin","answers","search","living","water","blind","","messiah","weary","tired","runnin","empty","feelin","fire","","devil","liar","story's","already","written","children","forgiven","yeah","ain't","nothin","change","everythin","erased","yeah","took","threw","wasteland","freedom","feel","good","","freedom","feel","good","freedom","feel","good","","freedom","feel","good","","","father","","call","","answer","","need","begotten","","prosper","","","dead","resurrected","devil","tried","test","lost","lose","","head","bruise","","","","sweat","blood","tears","","cross","know","paid","cost","work","north","west","south","east","easter","sunday","","cheese","good","friday","fish","bammy","","table","","family","times","","","","high","","said","worry","","love","abundant","still","mine","","freedom","feel","good","","freedom","feel","good","freedom","feel","good","","freedom","feel","good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"youngblood","thinks","always","tomorrow","miss","touch","nights","hollow","know","crossed","bridge","follow","since","love","left","","want","know","close","settle","ghost","miss","life","life","next","memory","ecstasy","miss","life","miss","life","youngblood","thinks","always","tomorrow","need","time","time","borrowed","leave","behind","follow","since","love","left","","want","know","close","settle","ghost","miss","life","yeah","next","memory","ecstasy","","miss","life","miss","life","woah","","","","","","","life","close","settle","ghost","miss","life","next","memory","ecstasy","miss","life","miss","life","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"know","","call","need","someone","pick","pieces","come","undone","painting","stars","ceiling","cause","wish","find","feeling","yeah","know","","call","need","someone","need","hold","heaven","place","","away","know","","","make","mistakes","make","mistakes","take","hand","hold","tell","everything","need","","cause","know","feels","someone","someone","feels","someone","loses","","looking","answers","place","unknown","need","connection","","close","","close","painting","stars","ceiling","cause","wish","find","feeling","yeah","know","","call","need","someone","need","hold","hold","heaven","place","","away","away","yeah","know","","","make","mistakes","make","mistakes","take","hand","hold","","","","woah","","woah","tell","everything","need","","cause","know","feels","someone","feels","someone","loses","","midnight","","morning","call","need","somebody","midnight","","morning","call","need","somebody","need","hold","heaven","place","","away","know","","","make","mistakes","make","mistakes","take","hand","hold","hold","tell","everything","need","","cause","know","feels","someone","","yeah","feels","someone","loses","","midnight","","morning","call","need","somebody","","yeah","yeah","midnight","","morning","call","need","somebody","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","touch","","stoned","higher","ever","known","call","shots","follow","sunrise","night's","still","young","words","speak","tongues","","might","","much","touch","blurred","vision","world","just","even","sober","thinkin","straight","cause","face","love","head","know","forever","ruined","","","","sleep","cause","","buzzed","late","","blood","hate","","keep","touch","blurred","vision","world","just","even","sober","thinkin","straight","cause","face","love","head","know","forever","ruined","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cause","face","love","head","know","forever","ruined","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","peaches","georgia","","yeah","shit","","weed","california","shit","took","chick","north","yeah","badass","bitch","","light","right","source","yeah","yeah","that’s","","","","","breathe","texture","skin","wanna","wrap","arms","around","baby","never","","","","","","nothing","like","touch","it’s","","lift","yeah","right","","","time","","peaches","georgia","","yeah","shit","","weed","california","shit","took","chick","north","yeah","badass","bitch","","light","right","source","yeah","yeah","ain't","sure","","","","want","","wish","nights","alone","miss","days","save","souvenirs","time","wanna","make","time","give","whole","life","left","girl","","mallorca","hate","leave","call","torture","remember","couldn’t","hold","left","baggage","rimowa","","peaches","georgia","","yeah","shit","","weed","california","shit","took","chick","north","yeah","badass","bitch","","light","right","source","yeah","yeah","that’s","","feeling","sure","sure","hand","hand","can’t","pretend","ignore","right","think","wanna","know","just","","done","bein","distracted","","need","right","arms","","kisses","taste","sweetest","mine","right","","","time","","peaches","georgia","","yeah","shit","","weed","california","shit","took","chick","north","yeah","badass","bitch","","light","right","source","yeah","yeah","","peaches","georgia","","yeah","shit","","weed","california","shit","took","chick","north","yeah","badass","bitch","","light","right","source","yeah","yeah","","peaches","georgia","","yeah","shit","","weed","california","shit","took","chick","north","yeah","badass","bitch","","light","right","source","yeah","yeah","","peaches","georgia","","yeah","shit","","weed","california","shit","took","chick","north","yeah","badass","bitch","","light"
"right","source","yeah","yeah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"took","arrow","heart","never","kissed","mouth","tastes","like","","somethin","","yeah","want","lipstick","guitar","","fill","engine","","drive","real","","","dancin","underneath","stars","","yeah","want","","","feelin","like","wanna","","wanna","kiss","eyes","wanna","drink","smile","wanna","feel","like","like","soul's","fire","wanna","stay","","night","yeah","","singin","like","","love","like","close","give","","shivers","","baby","wanna","dance","","sunlight","cracks","whеn","","party's","bring","right","back","","","love","like","close","give","shivers","","baby","wanna","dance","","sunlight","cracks","","party's","bring","right","back","","back","seat","moonlit","dark","wrap","legs","arms","","","enough","know","tear","apart","","","back","together","take","heart","never","thought","love","hard","","","enough","","","feelin","like","wanna","","wanna","kiss","eyes","wanna","drink","smile","wanna","feel","like","like","soul's","fire","wanna","stay","","night","yeah","","singin","like","","love","like","close","give","shivers","","baby","wanna","dance","","sunlight","cracks","","party's","bring","right","back","","","love","like","close","give","shivers","","baby","wanna","dance","","sunlight","cracks","","party's","bring","right","back","baby","burn","","make","shiver","fire","","thing","started","want","stop","know","make","shiver","","","baby","burn","","make","shiver","fire","","thing","started","want","stop","know","make","shiver","yeah","","singin","like","","love","like","close","give","shivers","","baby","wanna","dance","","sunlight","cracks","","party's","bring","right","back","","","","love","like","close","give","shivers","","baby","wanna"
"dance","","sunlight","cracks","","party's","bring","right","back","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
